general region,stratum
Southern New England,1010
Southern New England,1020
Southern New England,1030
Southern New England,1040
Southern New England,1050
Southern New England,1060
Southern New England,1070
Southern New England,1080
Southern New England,1090
Southern New England,1100
Southern New England,1110
Southern New England,1120
Georges Bank,1130
Georges Bank,1140
Georges Bank,1150
Georges Bank,1160
Georges Bank,1170
Georges Bank,1180
Georges Bank,1190
Georges Bank,1200
Georges Bank,1210
Georges Bank,1220
Georges Bank,1230
Gulf of Maine,1240
Gulf of Maine,1250
Gulf of Maine,1260
Gulf of Maine,1270
Gulf of Maine,1280
Gulf of Maine,1290
Gulf of Maine,1300
Gulf of Maine,1340
Gulf of Maine,1351
Gulf of Maine,1360
Gulf of Maine,1370
Gulf of Maine,1380
Gulf of Maine,1390
Gulf of Maine,1400
Mid-Atlantic,1610
Mid-Atlantic,1620
Mid-Atlantic,1630
Mid-Atlantic,
Mid-Atlantic,1650
Mid-Atlantic,1660
Mid-Atlantic,1670
Mid-Atlantic,1680
Mid-Atlantic,1690
Mid-Atlantic,1700
Mid-Atlantic,1710
Mid-Atlantic,1720
Mid-Atlantic,1730
Mid-Atlantic,1740
Mid-Atlantic,1750
Mid-Atlantic,1760